,NOME MUNICÍPIO
SIDROLANDIA,10799
ITABELA,10798
GANDU,10780
CORRENTINA,10779
SAO PEDRO,10766
MEDICILANDIA,10758
POMBAL,10755
TUNTUM,10752
PARNARAMA,10749
CAMPO ALEGRE DE LOURDES,10748
IGARAPE,10717
ITAPORANGA,10701
HUMBERTO DE CAMPOS,10697
SAO JOSE DO EGITO,10694
GUARATUBA,10693
APARECIDA,10680
ITABERAI,10675
PASSIRA,10664
PRESIDENTE TANCREDO NEVES,10654
MARAGOGI,10649
LAVRAS DA MANGABEIRA,10626
NAZARE,10617
BARAUNA,10584
CAMPO BELO,10576
BURITI,10575
SOLEDADE,10575
PRESIDENTE FIGUEIREDO,10572
FEIRA NOVA,10548
JAGUARARI,10542
MATOES,10541
SERRA DO RAMALHO,10528
CASIMIRO DE ABREU,10512
ESPLANADA,10504
SANTANA DO ARAGUAIA,10487
ANAJAS,10473
SANTA ROSA,10471
ESTREITO,10447
CAPIM GROSSO,10437
TABIRA,10436
MURITIBA,10434
JUINA,10398
MATINHOS,10389
PARIPIRANGA,10380
ELDORADO DOS CARAJAS,10376
PRADO,10373
SOBRADINHO,10373
RIO GRANDE DA SERRA,10338
MONTE CARMELO,10335
IBIPORA,10334
MANGARATIBA,10326
CURRALINHO,10317
LAGOA GRANDE,10311
RAPOSA,10283
PINHAO,10273
ANDRADINA,10272
CAMPINA GRANDE DO SUL,10271
LEOPOLDINA,10265
CANOINHAS,10259
OLIMPIA,10252
TAQUARITINGA,10246
CONDADO,10243
SANTA MARIA DE JETIBA,10241
ALAGOINHA,10231
MONTENEGRO,10216
ARRAIAL DO CABO,10216
AGUA BOA,10204
MARCO,10203
IMBITUBA,10199
MARAPANIM,10186
CARIRIACU,10181
LUZILANDIA,10180
SAO FRANCISCO DO SUL,10170
QUIJINGUE,10169
PARAMBU,10155
SAO BERNARDO,10154
TANGUA,10153
SAO BENTO DO SUL,10134
BRASILEIA,10118
SANTA MARIA DO PARA,10104
GASPAR,10092
CAETES,10086
ICARA,10085
BRASILIA DE MINAS,10084
LAPAO,10081
CRUZ,10076
CANDIDO SALES,10069
CARAZINHO,10065
NOVA ANDRADINA,10019
RORAINOPOLIS,10011
VACARIA,10001
SAO JOAO,10001
QUIRINOPOLIS,9998
CONCEICAO DO JACUIPE,9993
UAUA,9966
SAO GONCALO DOS CAMPOS,9965
PAROBE,9962
POMBOS,9953
IGACI,9950
SAO LUIS DO QUITUNDE,9926
TABULEIRO DO NORTE,9885
TAIOBEIRAS,9821
ALAGOA GRANDE,9821
BOM DESPACHO,9814
GLORIA DO GOITA,9801
PARAIBA DO SUL,9795
CORACAO DE MARIA,9791
NOVA ODESSA,9784
SOLANEA,9783
SALTO DE PIRAPORA,9777
SANTA QUITERIA DO MARANHAO,9775
MONCAO,9771
SAO FIDELIS,9740
NANUQUE,9740
URUACU,9714
OIAPOQUE,9709
ARAME,9697
PEDRAS DE FOGO,9696
ITAIBA,9676
CONFRESA,9674
LENCOIS PAULISTA,9644
MACHADINHO D'OESTE,9636
POCONE,9632
ESPINOSA,9628
SANTO ANTONIO DE PADUA,9622
GOIANESIA DO PARA,9612
SANTOS DUMONT,9589
ARARI,9589
NOVO PROGRESSO,9585
NOVA SOURE,9584
AMAMBAI,9584
ARAGUATINS,9572
CARUTAPERA,9566
NOVA RUSSAS,9558
CONGONHAS,9551
TAMBORIL,9543
JOAO ALFREDO,9543
ARTUR NOGUEIRA,9536
SAO JOAO DO PARAISO,9528
PEIXOTO DE AZEVEDO,9521
TIMBIRAS,9516
SAO DESIDERIO,9508
TAQUARA,9490
FILADELFIA,9485
SANTA HELENA DE GOIAS,9476
SAO MATEUS DO SUL,9471
NIQUELANDIA,9467
PINDARE-MIRIM,9466
CAPIVARI,9440
IACU,9437
PORTO CALVO,9430
CAMPO BOM,9422
OCARA,9413
CABREUVA,9409
RIO PARDO DE MINAS,9379
SAO LOURENCO,9376
COLINAS DO TOCANTINS,9375
ARACUAI,9369
ICATU,9366
TREMEMBE,9357
NOVA ESPERANCA DO PIRIA,9346
PORTO FELIZ,9323
IBIMIRIM,9313
SANTIAGO,9308
LAPA,9301
AURORA,9297
RUROPOLIS,9286
CASTRO ALVES,9284
SAO JOSE DO RIO PARDO,9281
SANTA CRUZ CABRALIA,9274
ALTO ALEGRE DO PINDARE,9263
NOSSA SENHORA DAS DORES,9259
OURO PRETO DO OESTE,9249
SERRANA,9245
SANTO ANTONIO DA PLATINA,9241
VENANCIO AIRES,9230
NISIA FLORESTA,9226
AFONSO CLAUDIO,9209
NOVA OLINDA DO NORTE,9205
NOVA MUTUM,9198
AGUA PRETA,9187
ANAJATUBA,9182
GUAXUPE,9162
POSSE,9161
MAFRA,9147
PARAGUACU PAULISTA,9144
SAO PAULO DE OLIVENCA,9141
CAMPOS SALES,9135
OLINDINA,9133
ARARUNA,9114
BOM JESUS DO ITABAPOANA,9108
PORTO FERREIRA,9096
WENCESLAU GUIMARAES,9091
SOCORRO,9083
BOQUIM,9062
CATOLE DO ROCHA,9060
BARREIRA,9059
PRIMAVERA,9037
ALCANTARA,9032
IRAQUARA,9030
BARRA DA ESTIVA,9011
MIGUEL CALMON,9002
PEDRO DO ROSARIO,8979
INAJA,8964
BANDEIRANTES,8953
LIMOEIRO DE ANADIA,8950
JARDINOPOLIS,8945
JUQUITIBA,8940
BOM JESUS DAS SELVAS,8936
MATINHA,8935
CANTAGALO,8926
NAZARE DA MATA,8922
RIO DO SUL,8908
SAO SEBASTIAO DA BOA VISTA,8896
RIACHO DAS ALMAS,8890
NOVO CRUZEIRO,8883
JALES,8877
DOMINGOS MARTINS,8867
TAQUARITINGA DO NORTE,8866
UMBAUBA,8850
CRAIBAS,8837
ITAMARANDIBA,8826
CORRENTE,8819
SANTA LUZIA DO PARA,8818
